m,n,k,elapsed,gflops
2000,2000,2000,0.022338,716.267409
2000,2000,2000,0.016968,942.936878
2000,2000,2000,0.015225,1050.917270
2000,2000,2000,0.015494,1032.645740
2000,2000,2000,0.015954,1002.865877
4000,4000,4000,0.086661,1477.027883
4000,4000,4000,0.087060,1470.246180
4000,4000,4000,0.086483,1480.056293
4000,4000,4000,0.086295,1483.286576
4000,4000,4000,0.085954,1489.175538
6000,6000,6000,0.277623,1556.064787
6000,6000,6000,0.279608,1545.019304
6000,6000,6000,0.277636,1555.992207
6000,6000,6000,0.278444,1551.478537
6000,6000,6000,0.278358,1551.957043
8000,8000,8000,0.633317,1616.882629
8000,8000,8000,0.633526,1616.350476
8000,8000,8000,0.632988,1617.725374
8000,8000,8000,0.633884,1615.437869
8000,8000,8000,0.633122,1617.381345
10000,10000,10000,1.244462,1607.119611
10000,10000,10000,1.244443,1607.144375
10000,10000,10000,1.244828,1606.647384
10000,10000,10000,1.244224,1607.427862
10000,10000,10000,1.245047,1606.365547
12000,12000,12000,2.148742,1608.382657
12000,12000,12000,2.146576,1610.005916
12000,12000,12000,2.147947,1608.978215
12000,12000,12000,2.147557,1609.270281
12000,12000,12000,2.147224,1609.520238
14000,14000,14000,3.349831,1638.291538
14000,14000,14000,3.353431,1636.532971
14000,14000,14000,3.353238,1636.627052
14000,14000,14000,3.350053,1638.182848
14000,14000,14000,3.354319,1636.099756
16000,16000,16000,5.019300,1632.100139
16000,16000,16000,5.020894,1631.581904
16000,16000,16000,5.021251,1631.465907
16000,16000,16000,5.023213,1630.828664
16000,16000,16000,5.020989,1631.551083
18000,18000,18000,7.138863,1633.873658
18000,18000,18000,7.157373,1629.648299
18000,18000,18000,7.146254,1632.183708
18000,18000,18000,7.145620,1632.328723
18000,18000,18000,7.147202,1631.967286
20000,20000,20000,9.915380,1613.654717
20000,20000,20000,9.860236,1622.679260
20000,20000,20000,9.866048,1621.723242
20000,20000,20000,9.868541,1621.313643
20000,20000,20000,9.866534,1621.643355
