m,n,k,elapsed,gflops
2000,2000,2000,0.014072,1136.988334
2000,2000,2000,0.013066,1224.556022
2000,2000,2000,0.014223,1124.903285
2000,2000,2000,0.013314,1201.747311
2000,2000,2000,0.013254,1207.157326
4000,4000,4000,0.082786,1546.147172
4000,4000,4000,0.082693,1547.884752
4000,4000,4000,0.082678,1548.181626
4000,4000,4000,0.082845,1545.048422
4000,4000,4000,0.083134,1539.677440
6000,6000,6000,0.276915,1560.045445
6000,6000,6000,0.279085,1547.914389
6000,6000,6000,0.276595,1561.848710
6000,6000,6000,0.276528,1562.226938
6000,6000,6000,0.276789,1560.753202
8000,8000,8000,0.632945,1617.833244
8000,8000,8000,0.632809,1618.181754
8000,8000,8000,0.632779,1618.257528
8000,8000,8000,0.630851,1623.205439
8000,8000,8000,0.630355,1624.481260
10000,10000,10000,1.276334,1566.987637
10000,10000,10000,1.274232,1569.572467
10000,10000,10000,1.272909,1571.204307
10000,10000,10000,1.272812,1571.323778
10000,10000,10000,1.273868,1570.021884
12000,12000,12000,2.140810,1614.342089
12000,12000,12000,2.137266,1617.019452
12000,12000,12000,2.142863,1612.795910
12000,12000,12000,2.135619,1618.266467
12000,12000,12000,2.139276,1615.500060
14000,14000,14000,3.381877,1622.767237
14000,14000,14000,3.383087,1622.187246
14000,14000,14000,3.408209,1610.229952
14000,14000,14000,3.369499,1628.728547
14000,14000,14000,3.441773,1594.527003
16000,16000,16000,5.095150,1607.803419
16000,16000,16000,5.053322,1621.111842
16000,16000,16000,5.108161,1603.708354
16000,16000,16000,5.050687,1621.957647
16000,16000,16000,5.056945,1619.950371
18000,18000,18000,7.174965,1625.652482
18000,18000,18000,7.173444,1625.997146
18000,18000,18000,7.184331,1623.533324
18000,18000,18000,7.178350,1624.885930
18000,18000,18000,7.243216,1610.334472
20000,20000,20000,9.868120,1621.382726
20000,20000,20000,9.934453,1610.556704
20000,20000,20000,9.874426,1620.347384
20000,20000,20000,9.869248,1621.197460
20000,20000,20000,9.879328,1619.543398
